#;ISO;EN_country;Sco15;Diff sco14;Diff;Abuses score;Underlying situation score;Situation;EN_zone;ES_country;FR_Country;FR_zone;ES_zone;;;;;;
1;FIN;Finland;7,52;-1,12;"0 (1 ; 6,4)";;7,52;Good situation;European Union & the Balkans;Finlandia;Finlande;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
2;NOR;Norway;7,75;-1,23;"+1 (3 ; 6,52)";;7,75;Good situation;European Union & the Balkans;Noruega;Norvège;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
3;DNK;Denmark;8,24;-0,81;"+4 (7 ; 7,43)";;8,24;Good situation;European Union & the Balkans;Dinamarca;Danemark;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
4;NLD;Netherlands;9,22;-2,76;"-2 (2 ; 6,46)";16,09;7,5;Good situation;European Union & the Balkans;Países Bajos;Pays-Bas;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
5;SWE;Sweden;9,47;-0,49;"+5 (10 ; 8,98)";;9,47;Good situation;European Union & the Balkans;Suecia;Suède;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
6;NZL;New Zealand;10,06;-1,51;"+3 (9 ; 8,55)";16,09;8,55;Good situation;Asia-Pacific;Nueva Zelanda;Nouvelle-Zélande;Asie-Pacifique;Asia y el Pacífico;;;;;;
7;AUT;Austria;10,85;-0,84;"+5 (12 ; 10,01)";13,86;10,1;Good situation;European Union & the Balkans;Austria;Autriche;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
8;CAN;Canada;10,99;-;"+10 (18 ; 10,99)";;10,99;Good situation;Americas;Canadá;Canada;Amériques;Amériques;;;;;;
9;JAM;Jamaica;11,18;-0,28;"+8 (17 ; 10,9)";6,93;11,18;Good situation;Americas;Jamaica;Jamaïque;Amériques;Amériques;;;;;;
10;EST;Estonia;11,19;-1,56;"+1 (11 ; 9,63)";;11,19;Good situation;European Union & the Balkans;Estonia;Estonie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
11;IRL;Ireland;11,2;-0,33;"+5 (16 ; 10,87)";;11,2;Good situation;European Union & the Balkans;Irlanda;Irlande;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
12;DEU;Germany;11,47;-1,24;"+2 (14 ; 10,23)";16,09;10,32;Good situation;European Union & the Balkans;Alemania;Allemagne;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
